source_center,destination_center,legs,median_delay_ratio,late_rate,late_rate_raw,excess_minutes,excess_minutes_uncapped,median_actual_minutes,median_osrm_minutes,median_osrm_km,ftl_share,sla_contribution_pct,is_chronic_raw,is_chronic_calibrated,is_credible_priority,source_facility,destination_facility,corridor
IND110064AAA,IND000000ACB,39,2.076923076923077,0.48717948717948717,1.0,5475.16637646929,7346.329884357882,108.0,53.0,56.9809,0.0,1.649739108877405,1,0,1,Delhi_Mayapuri_PC (Delhi),Gurgaon_Bilaspur_HB (Haryana),Delhi_Mayapuri_PC (Delhi) -> Gurgaon_Bilaspur_HB (Haryana)
IND212402AAA,IND211002AAB,13,29.13888888888889,1.0,1.0,3896.6638514556435,9390.456418918919,1049.0,36.0,48.8429,0.0,1.174115690351074,1,1,0,Phulpur_Shekhpur_D (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),Phulpur_Shekhpur_D (Uttar Pradesh) -> Allahabad_Central_H_1 (Uttar Pradesh)
IND425405AAA,IND424006AAA,14,21.232475598935224,0.8571428571428571,1.0,3596.9204782667475,7001.012681912683,1035.0,48.0,64.5275,1.0,1.083799098785607,1,1,0,Shirpur_KrantiNgr_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra),Shirpur_KrantiNgr_D (Maharashtra) -> Dhule_MIDCAvdn_I (Maharashtra)
IND208012AAA,IND209304AAA,13,41.5,0.8461538461538461,1.0,3263.9191788744033,5848.734095634096,666.0,15.0,18.1243,0.0,0.9834614598646128,1,1,0,Kanpur_Central_D_7 (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),Kanpur_Central_D_7 (Uttar Pradesh) -> Kanpur_Central_H_6 (Uttar Pradesh)
IND416606AAA,IND416510AAA,10,26.880917874396133,1.0,1.0,2923.420388730091,9414.08858858859,1207.0,45.5,47.279250000000005,0.0,0.8808647290984598,1,1,0,Malvan_BllvMarg_D (Maharashtra),Sawantwadi_LaxmiNgr_D (Maharashtra),Malvan_BllvMarg_D (Maharashtra) -> Sawantwadi_LaxmiNgr_D (Maharashtra)
IND000000ACB,IND160002AAC,58,2.205188679245283,0.25862068965517243,1.0,2745.337228571427,2845.524170616115,467.5,211.0,280.16115,1.0,0.8272059480230838,1,0,1,Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana) -> Chandigarh_Mehmdpur_H (Punjab)
IND400072AAD,IND421302AAG,99,2.727272727272727,0.36363636363636365,1.0,2602.631016042781,2602.631016042781,58.0,21.0,25.67,0.0,0.784206703123407,1,0,1,Mumbai_Chndivli_PC (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Chndivli_PC (Maharashtra) -> Bhiwandi_Mankoli_HB (Maharashtra)
IND473331AAA,IND473226AAA,17,2.0609756097560976,0.47058823529411764,1.0,2397.946985511165,8289.362984218078,169.0,81.0,77.2146,1.0,0.722532732523738,1,0,0,Ashokngr_Bypassrd_D (Madhya Pradesh),Guna_Raghogrh_D (Madhya Pradesh),Ashokngr_Bypassrd_D (Madhya Pradesh) -> Guna_Raghogrh_D (Madhya Pradesh)
IND177033AAA,IND160002AAC,18,2.886503443374262,0.6111111111111112,1.0,2132.4542848464394,2196.3845016404052,583.0,201.0,214.3071,1.0,0.642536315740779,1,1,0,Nadaun_Ward6_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab),Nadaun_Ward6_D (Himachal Pradesh) -> Chandigarh_Mehmdpur_H (Punjab)
IND722151AAA,IND723130AAA,8,15.060049019607844,0.875,1.0,2098.2036123222697,4048.5042229729734,1054.0,70.0,89.35215,1.0,0.6322161409582708,1,1,0,Simlapal_Central_D_1 (West Bengal),Hura_Central_D_1 (West Bengal),Simlapal_Central_D_1 (West Bengal) -> Hura_Central_D_1 (West Bengal)
IND131028AAB,IND000000ACB,86,1.9064264003473732,0.3023255813953488,0.9883720930232558,2028.6940972684881,2028.6940972684881,184.5,97.0,89.73310000000001,0.0,0.6112720166087066,1,0,1,Sonipat_Kundli_H (Haryana),Gurgaon_Bilaspur_HB (Haryana),Sonipat_Kundli_H (Haryana) -> Gurgaon_Bilaspur_HB (Haryana)
IND249201AAA,IND249407AAA,17,7.88,0.5882352941176471,1.0,1998.3381986379356,2263.2470588235296,197.0,27.0,21.7934,1.0,0.6021253880475786,1,1,0,Rishikesh_DC (Uttarakhand),Haridwar (Uttarakhand),Rishikesh_DC (Uttarakhand) -> Haridwar (Uttarakhand)
IND000000ACB,IND110095AAB,36,1.9802631578947367,0.5,0.5833333333333334,1947.0800084889645,1947.0800084889645,150.5,76.0,71.33865,0.0,0.5866806261673811,1,0,1,Gurgaon_Bilaspur_HB (Haryana),Delhi_Jhilmil_L (Delhi),Gurgaon_Bilaspur_HB (Haryana) -> Delhi_Jhilmil_L (Delhi)
IND110037AAK,IND000000ACB,43,2.1842105263157894,0.4186046511627907,1.0,1924.2828044964733,2768.2728744939272,81.0,38.0,38.7407,0.0,0.5798115309813238,1,0,1,Delhi_Kapshera_L (Delhi),Gurgaon_Bilaspur_HB (Haryana),Delhi_Kapshera_L (Delhi) -> Gurgaon_Bilaspur_HB (Haryana)
IND400072AAB,IND421302AAG,63,2.9583333333333335,0.3968253968253968,1.0,1887.0935152343502,1901.2595170454547,66.0,23.0,27.4335,0.0,0.5686059126113039,1,0,1,Mumbai Hub (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Mumbai Hub (Maharashtra) -> Bhiwandi_Mankoli_HB (Maharashtra)
IND792121AAB,IND786181AAC,11,28.903225806451612,0.7272727272727273,1.0,1810.8191101011157,5384.104838709677,896.0,29.0,42.0052,0.0,0.5456234385634923,1,1,0,Jairampur_Mdiclcly_D (Arunachal Pradesh),Margherita_CivilHPL_D (Assam),Jairampur_Mdiclcly_D (Arunachal Pradesh) -> Margherita_CivilHPL_D (Assam)
