facility,facility_name,betweenness,pagerank,clustering_coeff,in_degree,out_degree,weighted_in_degree,weighted_out_degree,in_legs,in_excess_minutes,in_late_legs,out_legs,out_excess_minutes,out_late_legs,legs_touched,late_legs_touched,excess_minutes_touched,sla_contribution_pct,betweenness_score,weighted_in_degree_score,weighted_out_degree_score,excess_minutes_touched_score,chokepoint_score
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),0.1407969770365147,0.018044542736175714,0.005944041554413749,35,42,687,767,694.0,18560.47668877581,168.0,777.0,14488.682523164274,163.0,1471.0,331.0,33049.15921194008,6.025239521274592,1.0,1.0,1.0,1.0,1.0
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),0.07168150701430893,0.01608321442711251,0.007997740483076728,31,28,506,564,512.0,4701.393410902444,97.0,574.0,4106.252456153987,126.0,1086.0,223.0,8807.645867056432,1.6057345249620343,0.5091125429185802,0.7365356622998545,0.7353324641460235,0.2665013597040128,0.5391883552366818
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),0.04193693910712643,0.00878599910088639,0.012875585085849685,21,26,406,553,414.0,10153.041578354847,130.0,554.0,7521.087098475661,141.0,968.0,271.0,17674.128676830507,3.2221956971679484,0.2978539737841842,0.5909752547307132,0.7209908735332464,0.5347830050225651,0.5003378677328977
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),0.0828698005860222,0.014472706414707702,0.005727205461793847,26,22,302,243,307.0,6470.098343630933,65.0,251.0,1769.4004109938633,39.0,558.0,104.0,8239.498754624798,1.5021548116698313,0.5885765613030918,0.4395924308588064,0.31681877444589307,0.24931038946515804,0.41961163488331155
IND712311AAA,Kolkata_Dankuni_HB (West Bengal),0.04809279998598452,0.008093155444826848,0.007532690485641613,16,17,155,207,162.0,13327.84978197976,68.0,212.0,7925.844297250364,85.0,374.0,153.0,21253.694079230125,3.8747913893371257,0.3415755153145937,0.22561863173216884,0.26988265971316816,0.6430933368964963,0.37942502287329927
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),0.03291337996399774,0.009816812295299187,0.004275046855430748,21,20,312,286,322.0,9031.89584445655,89.0,296.0,2224.363234017742,47.0,618.0,136.0,11256.259078474293,2.052144704390134,0.233764819790569,0.45414847161572053,0.3728813559322034,0.3405913901255196,0.3323714999676638
IND411033AAA,Pune_Tathawde_H (Maharashtra),0.03457826549695821,0.007180394700880747,0.010684390158577192,16,17,253,317,263.0,3860.104176292574,64.0,319.0,3729.7610592821306,74.0,582.0,138.0,7589.8652355747045,1.3837191949503842,0.2455895447811396,0.3682678311499272,0.4132985658409387,0.22965380713324227,0.29968307185488263
IND131028AAB,Sonipat_Kundli_H (Haryana),0.033640980382710156,0.006348739547088666,0.006420903096507836,16,12,257,192,262.0,3423.3677260000704,71.0,200.0,3952.5183181165444,50.0,462.0,121.0,7375.886044116614,1.3447083422737487,0.23893254735139383,0.37409024745269287,0.2503259452411995,0.22317923420732097,0.26430443866359654
IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),0.009516838283279096,0.006681151961412112,0.035271663401011524,9,12,262,340,264.0,2219.0412199721222,79.0,343.0,3117.8247986085653,116.0,607.0,195.0,5336.8660185806875,0.9729716828403423,0.06759263219700357,0.3813682678311499,0.44328552803129073,0.16148265631679282,0.22895884452063758
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),0.028846701325776655,0.00624647021802976,0.007950288118176925,14,17,181,220,186.0,3824.2365722757277,41.0,222.0,1443.4678868910032,53.0,408.0,94.0,5267.704459166731,0.9603627399482823,0.204881538886275,0.26346433770014555,0.28683181225554105,0.1593899689061863,0.22161526082788013
IND382430AAB,Ahmedabad_East_H_1 (Gujarat),0.033384212439613,0.005009950623797796,0.0058115457153514885,14,12,167,203,170.0,1630.408769957135,43.0,203.0,2644.4244234917082,41.0,373.0,84.0,4274.833193448843,0.779350958335997,0.2371088722377544,0.2430858806404658,0.2646675358539765,0.12934771399280925,0.2168757170803048
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),0.02850452656152138,0.006477233243659515,0.0034003559753981805,15,11,111,135,111.0,7063.290432602032,31.0,138.0,2029.981458444224,37.0,249.0,68.0,9093.271891046255,1.6578074142301598,0.20245126821244844,0.1615720524017467,0.1760104302477184,0.2751438193247898,0.20716039523544744
IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),0.023038490007401925,0.0061266832237471865,0.0078344315977927,9,13,104,120,107.0,6552.425465019305,72.0,122.0,1198.3702751365822,37.0,229.0,109.0,7750.795740155887,1.41305866559056,0.16362915236047332,0.15138282387190685,0.15645371577574968,0.23452323523424645,0.17746832006425858
IND110037AAM,Delhi_Airport_H (Delhi),0.017774473434098784,0.004093983090404858,0.012871569660205284,14,13,126,175,133.0,2377.770812086944,27.0,185.0,2725.2284649446415,56.0,318.0,83.0,5102.999277031586,0.9303351024403098,0.12624186831432538,0.18340611353711792,0.22816166883963493,0.15440632677844227,0.16509979207997502
IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),0.005518594597909066,0.004362071024038954,0.03825024874172423,4,8,187,221,187.0,1834.787102532231,69.0,227.0,2052.706400475109,73.0,414.0,142.0,3887.49350300734,0.7087345049478805,0.03919540542747489,0.27219796215429404,0.288135593220339,0.11762760674416362,0.15519200466058372
IND751002AAB,Bhubaneshwar_Hub (Orissa),0.028255423333143542,0.0022531658457513415,0.022205187600901656,7,6,67,65,73.0,1918.5309171272788,16.0,65.0,3095.092877577883,15.0,138.0,31.0,5013.623794705161,0.9140409303286151,0.2006820311619027,0.0975254730713246,0.0847457627118644,0.15170200738098738,0.14461845990855057
IND400072AAB,Mumbai Hub (Maharashtra),0.004419255515309721,0.003273236665687497,0.024458895058631493,10,7,160,187,161.0,1811.0940425283602,57.0,189.0,2249.1583424926553,68.0,350.0,125.0,4060.2523850210155,0.7402304240084764,0.031387431806604894,0.2328966521106259,0.2438070404172099,0.12285493736718475,0.13704007397967508
IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),0.030945190720001403,0.0036463178350019344,0.01632489609459457,10,6,85,69,89.0,1302.271907555679,20.0,74.0,864.7740074919725,19.0,163.0,39.0,2167.0459150476518,0.3950772426018185,0.21978590287471858,0.12372634643377002,0.08996088657105607,0.06557037960181257,0.13605510750756986
IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh),0.007876589333345013,0.002064469792828848,0.0,4,4,32,37,32.0,8352.083328079874,19.0,37.0,376.23125,15.0,69.0,34.0,8728.314578079875,1.5912715241168411,0.05594288669494854,0.046579330422125184,0.048239895697522815,0.2641009570653915,0.10456909483350946
IND781018AAB,Guwahati_Hub (Assam),0.009832734025639566,0.0024667168258983505,0.0,9,9,62,65,70.0,2860.635623949142,28.0,72.0,1399.1765110543768,11.0,142.0,39.0,4259.812135003519,0.7766124476702417,0.06983625808308026,0.09024745269286755,0.0847457627118644,0.12889320746969332,0.09166463527744781
IND302014AAA,Jaipur_Hub (Rajasthan),0.022012513194258912,0.003270224523349046,0.010662928295334426,8,6,66,59,69.0,231.72260412213362,9.0,61.0,69.35364775017922,6.0,130.0,15.0,301.0762518723128,0.05488964242826777,0.15634222877207174,0.09606986899563319,0.07692307692307693,0.009109951933770807,0.09159585723740983
IND121004AAB,FBD_Balabhgarh_DPC (Haryana),0.006310250132490069,0.0038311144328023222,0.007302076824914098,7,6,110,117,112.0,1194.124027463872,49.0,117.0,561.7798805716217,24.0,229.0,73.0,1755.9039080354937,0.320121354809949,0.04481807965844004,0.16011644832605532,0.15254237288135594,0.053130062909470824,0.09150060784930397
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),0.009380515857199795,0.004004491618845215,0.018664649042948508,8,5,100,100,105.0,499.8146714436913,23.0,106.0,716.9440519316236,25.0,211.0,48.0,1216.7587233753147,0.22182902448204822,0.06662441236055107,0.14556040756914118,0.1303780964797914,0.03681663172041367,0.08771040306608281
IND395023AAA,Surat_HUB (Gujarat),0.016787367674175168,0.0019130717562619364,0.05520314880344269,4,7,59,69,62.0,339.22478468899527,3.0,71.0,820.667747905775,10.0,133.0,13.0,1159.8925325947703,0.2114616678446821,0.1192310234744705,0.0858806404657933,0.08996088657105607,0.03509597703095943,0.08567315788117441
IND580028AAA,Hubli_Adargchi_IP (Karnataka),0.011515686386152708,0.0028411657675363093,0.006854064660373206,4,6,42,57,48.0,302.02116766684367,9.0,58.0,3544.901967070679,13.0,106.0,22.0,3846.9231347375226,0.7013380630376833,0.08178930136522886,0.0611353711790393,0.07431551499348109,0.1164000303326233,0.08481644029549001
IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),0.020239226695982375,0.0026839919603487174,0.008862218909952875,5,6,46,47,51.0,518.8227251970452,11.0,52.0,599.014436026936,11.0,103.0,22.0,1117.8371612239812,0.20379449289356832,0.1437475940320329,0.06695778748180495,0.061277705345501955,0.03382346746116695,0.08441462334196463
IND854326AAB,Purnia_Central_H_2 (Bihar),0.0156152138017423,0.0015762784107202325,0.015780750127409152,3,5,38,47,41.0,767.1579183421835,18.0,51.0,982.955042224699,16.0,92.0,34.0,1750.1129605668825,0.3190655988879981,0.11090588825421022,0.055312954876273655,0.061277705345501955,0.052954840676691026,0.07537390310250146
IND683511AAA,Aluva_Peedika_H (Kerala),0.011802018228881522,0.0023982024552287604,0.004782151923717076,8,7,60,63,65.0,240.69526600957548,14.0,63.0,876.668751425135,7.0,128.0,21.0,1117.3640174347106,0.20370823337210583,0.08382295186508694,0.08733624454148471,0.08213820078226858,0.033809151097284995,0.07168520999185234
IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),0.0011825559852662285,0.0017263969748255552,0.022940980940372002,4,3,119,58,119.0,1540.1786465740145,45.0,59.0,919.2263524904216,25.0,178.0,70.0,2459.404999064436,0.44837764568091276,0.00839901544874462,0.17321688500727803,0.07561929595827901,0.07441656785555671,0.07131103356406121
IND713205AAB,Durgapur_Central_I_1 (West Bengal),0.012168282096540367,0.0024829297428012246,0.010797646005325037,5,6,42,30,43.0,336.79279412066825,7.0,35.0,1942.3697598308568,23.0,78.0,30.0,2279.162553951525,0.4155173875199994,0.08642431359435089,0.0611353711790393,0.03911342894393742,0.06896279991074943,0.0675389697603055
IND518002AAA,Kurnool_AbbasNgr_I (Andhra Pradesh),0.013297732558394178,0.003465073258165736,0.009669189706838686,6,6,46,56,49.0,235.7939182452643,4.0,58.0,562.3612675070029,5.0,107.0,9.0,798.1551857522672,0.14551281436434818,0.09444615103451763,0.06695778748180495,0.07301173402868318,0.024150544364345213,0.0670876932552651
IND110044AAB,Del_Okhla_PC (Delhi),0.0023881061146904113,0.00048472220507230607,0.058395898236096734,2,6,39,130,39.0,987.4367337164751,16.0,130.0,1052.5347898213192,41.0,169.0,57.0,2039.9715235377944,0.37191012839606596,0.016961345086770385,0.056768558951965066,0.1694915254237288,0.06172536827505096,0.06661982972427115
IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh),0.014420613264774286,0.0022677639249858474,0.009436323090681497,4,4,41,41,41.0,8.391658391261188,1.0,41.0,351.1789852150538,5.0,82.0,6.0,359.570643606315,0.06555383871200549,0.1024213272777469,0.05967976710334789,0.05345501955671447,0.010879872655774203,0.061194390043167436
