trip_uuid,source_center,destination_center,data,route_type,route_schedule_uuid,source_name,destination_name,trip_creation_time,od_start_time,od_end_time,scan_count,actual_minutes_segsum,osrm_minutes_segsum,osrm_km_segsum,actual_minutes_cummax,actual_minutes_summary,osrm_minutes_summary,osrm_km_summary,actual_minutes,osrm_minutes,osrm_km,reconstruction_source,reconstruction_gap_min,start_hour,day_of_week,is_weekend,time_of_day,delay_ratio,delay_minutes,delay_ratio_w,split,corridor_id,promise_factor,promised_minutes,late_threshold_minutes,is_late,excess_minutes,is_late_raw,excess_minutes_raw,observed_route_type,eta_FTL,transport_cost_FTL,eta_Carting,transport_cost_Carting,late_minutes_FTL,generalised_cost_FTL,late_minutes_Carting,generalised_cost_Carting,recommended_route_type,in_overlap_band,would_switch,eta_minutes_saved_by_ftl,ftl_cost_premium_inr,generalised_saving_inr,distance_band
trip-153825970514894360,IND141003AAB,IND142026AAA,test,FTL,thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,Ludhiana_GillChwk_DC (Punjab),Jagraon_DC (Punjab),2018-09-29 22:21:45.149226,2018-09-30 02:22:04.138164,2018-09-30 03:42:55.193293,2,39.0,30.0,40.664,40.0,40.0,31.0,40.664,40.0,31.0,40.664,summary_row,1.0,2,Sunday,1,late_night,1.2903225806451613,9.0,1.2903225806451613,test,IND141003AAB->IND142026AAA,1.7580645161290325,54.50000000000001,62.675000000000004,0,0.0,1,2.8000000000000043,FTL,51.97292315053291,3801.248,52.734351204677054,2407.888,0.0,4580.841847257993,0.0,3198.9032680701557,Carting,True,True,0.7614280541441474,1393.3600000000001,1381.9385791878376,25-75km
trip-153825970514894360,IND142026AAA,IND141109AAA,test,FTL,thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,Jagraon_DC (Punjab),Raikot_DC (Punjab),2018-09-29 22:21:45.149226,2018-09-30 03:42:55.193293,2018-09-30 05:12:34.503322,1,51.0,35.0,23.3491,51.0,51.0,35.0,23.3491,51.0,35.0,23.3491,summary_row,0.0,3,Sunday,1,late_night,1.457142857142857,16.0,1.457142857142857,test,IND142026AAA->IND141109AAA,1.5621848739495798,54.6764705882353,62.877941176470586,0,0.0,1,9.0,FTL,47.08142577042953,3247.1711999999998,50.15403434628401,1680.6622,0.0,3953.392586556443,0.0,2432.97271519426,FTL,False,False,3.072608575854474,1566.5089999999998,0.0,0-25km
trip-153825970514894360,IND141109AAA,IND000000ACA,test,FTL,thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,Raikot_DC (Punjab),Ludhiana_MilrGanj_HB (Punjab),2018-09-29 22:21:45.149226,2018-09-30 05:12:34.503322,2018-09-30 06:44:42.320422,2,61.0,72.0,51.737,61.0,61.0,57.0,59.752300000000005,61.0,57.0,59.752300000000005,summary_row,0.0,5,Sunday,1,late_night,1.0701754385964912,4.0,1.0701754385964912,test,IND141109AAA->IND000000ACA,1.5703125,89.5078125,102.933984375,0,0.0,0,0.0,FTL,76.85010593823972,4412.0736,78.37964733698043,3209.5966000000003,0.0,5564.8251890735955,0.0,4385.291310054707,Carting,True,True,1.5295413987407045,1202.4769999999994,1179.533879018889,25-75km
trip-153840964571880594,IND131028AAB,IND247667AAB,test,FTL,thanos::sroute:182fdad4-dc74-4c7d-ada4-0a76d4c763ed,Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand),2018-10-01 16:00:45.719099,2018-10-01 16:00:45.719099,2018-10-01 23:43:53.126765,6,289.0,144.0,146.30290000000002,291.0,291.0,139.0,163.1561,291.0,139.0,163.1561,summary_row,2.0,16,Monday,0,afternoon,2.093525179856115,152.0,2.093525179856115,test,IND131028AAB->IND247667AAB,1.9193853427895982,266.79456264775416,306.81374704491725,0,0.0,1,124.20000000000002,FTL,256.4812457922073,7720.9952,259.5593836796127,7552.5562,0.0,11568.21388688311,0.0,11445.946955194191,FTL,False,False,3.0781378874054326,168.4390000000003,0.0,150-300km
trip-153840964571880594,IND247667AAB,IND249407AAA,test,FTL,thanos::sroute:182fdad4-dc74-4c7d-ada4-0a76d4c763ed,Roorkee_IOTCEncl_L (Uttarakhand),Haridwar (Uttarakhand),2018-10-01 16:00:45.719099,2018-10-01 23:55:44.909377,2018-10-02 01:48:01.382586,2,89.0,37.0,30.9921,90.0,90.0,37.0,30.9921,90.0,37.0,30.9921,summary_row,1.0,23,Monday,0,night,2.4324324324324325,53.0,2.4324324324324325,test,IND247667AAB->IND249407AAA,2.0,74.0,85.1,1,4.900000000000006,1,45.6,FTL,84.6283338870895,3491.7472,84.6231587895382,2001.6682,0.0,4761.172208306342,0.0,3271.015581843073,Carting,True,True,-0.005175097551301633,1490.0789999999997,1490.1566264632693,25-75km
trip-153840964571880594,IND249407AAA,IND249201AAA,test,FTL,thanos::sroute:182fdad4-dc74-4c7d-ada4-0a76d4c763ed,Haridwar (Uttarakhand),Rishikesh_DC (Uttarakhand),2018-10-01 16:00:45.719099,2018-10-02 01:48:01.382586,2018-10-02 03:03:51.852141,1,36.0,23.0,19.0621,36.0,36.0,23.0,19.0621,36.0,23.0,19.0621,summary_row,0.0,1,Tuesday,0,late_night,1.565217391304348,13.0,1.565217391304348,test,IND249407AAA->IND249201AAA,2.0264423076923075,46.60817307692307,53.59939903846153,0,0.0,1,8.400000000000002,FTL,52.86529984806926,3109.9872,53.36048671556296,1500.6082000000001,0.0,3902.966697721039,0.0,2301.0155007334447,FTL,False,False,0.49518686749370033,1609.379,0.0,0-25km
trip-153805777481903807,IND600056AAB,IND600032AAB,test,Carting,thanos::sroute:1283977c-889a-4e96-b632-5ba1a69427a1,MAA_Poonamallee_HB (Tamil Nadu),Chennai_Hub (Tamil Nadu),2018-09-27 14:16:14.819357,2018-09-27 14:16:14.819357,2018-09-27 17:16:11.083553,4,91.0,30.0,35.6749,92.0,92.0,32.0,35.6749,92.0,32.0,35.6749,summary_row,1.0,14,Thursday,0,afternoon,2.875,60.0,2.875,test,IND600056AAB->IND600032AAB,2.1291248206599716,68.13199426111909,78.35179340028695,1,13.648206599713049,1,53.6,Carting,79.14288227192847,3641.5968000000003,79.14288227192847,2198.3458,0.7910888716415201,4856.428144586381,0.7910888716415201,3413.17714458638,Carting,True,False,0.0,1443.2510000000002,0.0,25-75km
trip-153816910069311424,IND122004AAA,IND122413AAE,test,Carting,thanos::sroute:c736b86f-5c1d-4497-832c-876db4c1a518,Gurgaon_Begumpur_CP (Haryana),Gurgaon_Bilaspur_P (Haryana),2018-09-28 21:11:40.693356,2018-09-28 21:11:40.693356,2018-09-28 23:03:42.274206,4,57.0,47.0,50.9553,58.0,58.0,33.0,34.7591,58.0,33.0,34.7591,summary_row,1.0,21,Friday,0,night,1.7575757575757576,25.0,1.7575757575757576,test,IND122004AAA->IND122413AAE,1.8270270270270268,60.291891891891886,69.33567567567566,0,0.0,1,18.4,Carting,62.10417098052111,3612.2911999999997,62.08941546335408,2159.8822,0.0,4543.8537647078165,0.0,3091.2234319503114,Carting,True,False,-0.01475551716703194,1452.4089999999997,0.0,25-75km
trip-153861034802474617,IND245101AAA,IND201007AAA,test,Carting,thanos::sroute:1396edcd-faad-4029-a574-f71a85a60157,Hapur_Swargash_D (Uttar Pradesh),GZB_Mohan_Nagar_DPC (Uttar Pradesh),2018-10-03 23:45:48.025062,2018-10-04 02:54:40.713577,2018-10-04 05:23:28.396643,5,121.0,50.0,48.579499999999996,123.0,123.0,50.0,46.5093,123.0,50.0,46.5093,summary_row,2.0,2,Thursday,0,late_night,2.46,73.0,2.46,test,IND245101AAA->IND201007AAA,2.0,100.0,114.99999999999999,1,8.000000000000014,1,63.0,Carting,105.71412052263989,3988.2976,105.85155039413468,2653.3906,0.0,5574.009407839598,0.0,4241.16385591202,Carting,True,False,0.13742987149478836,1334.9069999999997,0.0,25-75km
trip-153817259045362090,IND174307AAA,IND176041AAA,test,FTL,thanos::sroute:b875794e-3217-4047-a603-7a02d8e70f55,Bangana_Bhaleti_D (Himachal Pradesh),Bhota_BpassDPP_D (Himachal Pradesh),2018-09-28 22:09:50.453894,2018-09-29 03:37:08.990017,2018-09-29 05:00:18.322627,1,51.0,53.0,35.444900000000004,51.0,51.0,53.0,35.444900000000004,51.0,53.0,35.444900000000004,summary_row,0.0,3,Saturday,1,late_night,0.9622641509433962,-2.0,0.9622641509433962,test,IND174307AAA->IND176041AAA,1.4375,76.1875,87.615625,0,0.0,0,0.0,FTL,64.45200819981196,3634.2368,68.35883883903355,2188.6858,0.0,4601.01692299718,0.0,3214.0683825855035,Carting,True,True,3.906830639221596,1445.551,1386.9485404116763,25-75km
