source_center,destination_center,legs_Carting,legs_FTL,median_actual_minutes_Carting,median_actual_minutes_FTL,median_km_Carting,median_km_FTL,observed_ftl_time_advantage_min
IND000000ACA,IND160002AAC,1.0,70.0,130.0,131.5,101.2354,88.7884,-1.5
IND000000ACT,IND000000ACB,43.0,57.0,69.0,50.0,42.7567,43.7548,19.0
IND144001AAC,IND000000ACA,1.0,11.0,94.0,96.0,76.2764,71.1327,-2.0
IND205001AAB,IND205135AAA,1.0,7.0,81.0,82.0,43.6495,43.369800000000005,-1.0
IND205135AAA,IND283203AAA,1.0,12.0,44.0,38.0,23.6153,22.3859,6.0
IND224001AAA,IND224141AAB,11.0,2.0,78.0,80.0,36.7309,33.92485,-2.0
IND224141AAB,IND224122AAA,16.0,1.0,56.0,55.0,27.6452,27.3162,1.0
IND248001AAD,IND131028AAB,5.0,4.0,449.0,494.5,245.2824,245.6544,-45.5
IND282001AAA,IND110037AAM,3.0,4.0,322.0,324.0,233.202,233.1837,-2.0
IND282001AAF,IND283122AAB,11.0,7.0,49.0,39.0,23.4746,24.0448,10.0
IND283203AAA,IND110037AAM,1.0,12.0,434.0,430.5,257.054,257.71659999999997,3.5
IND509216AAC,IND501359AAE,7.0,5.0,42.0,72.0,33.3485,31.4254,-30.0
IND560099AAB,IND562132AAA,77.0,25.0,89.0,74.0,46.3807,46.4553,15.0
IND562132AAA,IND560099AAB,89.0,38.0,91.0,75.0,50.002300000000005,50.459,16.0
IND574104AAA,IND574216AAA,10.0,1.0,90.5,84.0,54.019149999999996,50.8341,6.5
IND574216AAA,IND575004AAB,4.0,1.0,110.5,96.0,66.65355,57.4061,14.5
IND732138AAA,IND733124AAA,2.0,1.0,72.5,65.0,40.094800000000006,41.3573,7.5
IND733140AAA,IND733102AAA,8.0,1.0,45.0,36.0,33.5235,33.0799,9.0
IND825102AAA,IND827013AAA,1.0,2.0,53.0,53.5,31.5636,32.3568,-0.5
IND827013AAA,IND829121AAA,2.0,3.0,61.5,45.0,39.15435,35.711,16.5
IND829121AAA,IND834002AAB,8.0,3.0,439.5,452.0,85.52250000000001,84.4585,-12.5
IND834002AAB,IND825102AAA,1.0,2.0,242.0,311.0,120.4119,121.304,-69.0
IND841226AAB,IND841428AAA,1.0,1.0,56.0,61.0,33.174800000000005,31.2457,-5.0
